,title,authors,filename,referencecount,abstract_length,acronym_presence,content_references,equations,figures,pages,paragraphs,sections,subsections,subsubsections,tables,title_length,words,referencecount_per_page,figures_tables_per_page,equations_per_page,subsections_per_page,citationcount
2322,Offline Meta-Reinforcement Learning with Online Self-Supervision,8,Offline Meta-Reinforcement Learning with Online Self-Supervision,76,257,False,129,22,38,19,25,11,6,0,4,64,11894,4.0,2.210526315789474,1.1578947368421053,0.3157894736842105,46
2323,On Dropout and Nuclear Norm Regularization,8,On Dropout and Nuclear Norm Regularization,41,84,False,38,112,8,20,5,7,10,0,2,42,11334,2.05,0.5,5.6,0.5,20
2324,On Limited-Memory Subsampling Strategies for Bandits,8,On Limited-Memory Subsampling Strategies for Bandits,36,161,False,132,261,18,38,16,15,19,10,4,52,22170,0.9473684210526315,0.5789473684210527,6.868421052631579,0.5,7
2325,On Variational Bounds of Mutual Information,8,On Variational Bounds of Mutual Information,53,133,False,156,43,22,14,0,9,9,0,6,43,9029,3.7857142857142856,2.0,3.0714285714285716,0.6428571428571429,652
2326,On the Generalization Benefit of Noise in Stochastic Gradient Descent,8,On the Generalization Benefit of Noise in Stochastic Gradient Descent,45,154,False,188,14,52,17,0,14,11,0,14,69,13544,2.6470588235294117,3.8823529411764706,0.8235294117647058,0.6470588235294118,76
2327,On the Optimality of Batch Policy Optimization Algorithms,8,On the Optimality of Batch Policy Optimization Algorithms,37,474,False,74,373,18,29,5,14,14,0,0,57,12510,1.2758620689655173,0.6206896551724138,12.862068965517242,0.4827586206896552,27
2328,On the Theory of Variance Reduction for Stochastic Gradient Monte Carlo,8,On the Theory of Variance Reduction for Stochastic Gradient Monte Carlo,40,1,False,162,510,22,37,2,20,22,4,4,71,17561,1.0810810810810811,0.7027027027027027,13.783783783783784,0.5945945945945946,81
2329,Online Balanced Experimental Design,8,Online Balanced Experimental Design,38,154,False,155,93,24,21,8,8,15,0,2,35,10572,1.8095238095238095,1.2380952380952381,4.428571428571429,0.7142857142857143,3
2330,Online Variance Reduction with Mixtures,8,Online Variance Reduction with Mixtures,37,102,False,89,96,13,15,2,8,4,0,2,39,9336,2.466666666666667,1.0,6.4,0.26666666666666666,13
2332,Optimally Controllable Perceptual Lossy Compression,8,Optimally Controllable Perceptual Lossy Compression,51,184,False,58,97,73,18,0,11,9,0,4,51,9971,2.8333333333333335,4.277777777777778,5.388888888888889,0.5,7
2333,Oracles & Followers: Stackelberg Equilibria in Deep Multi-Agent Reinforcement Learning,8,Oracles  Followers Stackelberg Equilibria in Deep Multi-Agent Reinforcement Learning,45,142,False,124,10,20,32,19,14,6,0,6,85,15885,1.40625,0.8125,0.3125,0.1875,7
2334,Overfitting in adversarially robust deep learning,8,Overfitting in adversarially robust deep learning,85,212,False,167,6,82,25,13,10,15,0,10,49,13577,3.4,3.68,0.24,0.6,640
2336,Parameterized Algorithms for the Matrix Completion Problem,8,Parameterized Algorithms for the Matrix Completion Problem,36,122,False,42,14,8,13,0,5,8,0,2,58,8172,2.769230769230769,0.7692307692307693,1.0769230769230769,0.6153846153846154,28
2337,Peer Loss Functions: Learning from Noisy Labels without Knowing Noise Rates,8,Peer Loss Functions Learning from Noisy Labels without Knowing Noise Rates,64,171,False,306,440,68,32,32,49,28,0,12,74,18007,2.0,2.5,13.75,0.875,194
2338,Phasic Policy Gradient,8,Phasic Policy Gradient,22,124,False,48,0,30,17,0,9,8,0,0,22,4388,1.2941176470588236,1.7647058823529411,0.0,0.47058823529411764,118
2339,Policy Gradient Bayesian Robust Optimization for Imitation Learning,8,Policy Gradient Bayesian Robust Optimization for Imitation Learning,66,152,False,119,112,59,26,9,10,19,10,8,67,14578,2.5384615384615383,2.576923076923077,4.3076923076923075,0.7307692307692307,14
2340,Practical and Private (Deep) Learning without Sampling or Shuffling,8,Practical and Private Deep Learning without Sampling or Shuffling,76,93,False,146,52,64,37,5,16,28,2,10,67,20419,2.054054054054054,2.0,1.4054054054054055,0.7567567567567568,130
2341,Principled Acceleration of Iterative Numerical Methods Using Machine Learning,8,Principled Acceleration of Iterative Numerical Methods Using Machine Learning,51,139,False,43,74,11,29,9,8,9,4,6,77,11729,1.7586206896551724,0.5862068965517241,2.5517241379310347,0.3103448275862069,5
2342,Private optimization in the interpolation regime: faster rates and hardness results,8,Private optimization in the interpolation regime faster rates and hardness results,32,152,False,57,222,0,26,1,8,16,1,0,82,12297,1.2307692307692308,0.0,8.538461538461538,0.6153846153846154,4
2343,Progress & Compress: A scalable framework for continual learning,8,Progress  Compress A scalable framework for continual learning,42,154,False,62,16,23,13,0,10,7,0,4,62,8535,3.230769230769231,2.076923076923077,1.2307692307692308,0.5384615384615384,727
2344,Provable Meta-Learning of Linear Representations,8,Provable Meta-Learning of Linear Representations,46,159,False,216,520,24,36,0,30,13,4,0,48,22173,1.2777777777777777,0.6666666666666666,14.444444444444445,0.3611111111111111,156
2345,Provably and Practically Efficient Neural Contextual Bandits,8,Provably and Practically Efficient Neural Contextual Bandits,45,115,False,320,584,102,57,12,24,56,8,0,60,22178,0.7894736842105263,1.7894736842105263,10.24561403508772,0.9824561403508771,5
2346,Quantifying Availability and Discovery in Recommender Systems via Stochastic Reachability,8,Quantifying Availability and Discovery in Recommender Systems via Stochastic Reachability,47,164,False,51,57,55,32,19,11,19,0,10,89,13064,1.46875,2.03125,1.78125,0.59375,5
2347,Quickshift++: Provably Good Initializations for Sample-Based Mean Shift,8,Quickshift Provably Good Initializations for Sample-Based Mean Shift,36,63,False,55,20,29,10,0,9,6,0,0,68,6623,3.6,2.9,2.0,0.6,30
2348,Random Hypervolume Scalarizations for Provable Multi-Objective Black Box Optimization,8,Random Hypervolume Scalarizations for Provable Multi-Objective Black Box Optimization,44,180,False,42,6,14,18,0,8,2,0,0,85,8472,2.4444444444444446,0.7777777777777778,0.3333333333333333,0.1111111111111111,53
2349,Re-understanding Finite-State Representations of Recurrent Policy Networks,8,Re-understanding Finite-State Representations of Recurrent Policy Networks,26,132,False,31,0,84,20,0,14,7,0,4,74,9714,1.3,4.4,0.0,0.35,17
2350,Refined Complexity of PCA with Outliers,8,Refined Complexity of PCA with Outliers,24,194,True,28,64,4,20,0,4,2,0,0,39,12628,1.2,0.2,3.2,0.1,13
2351,"Reinforcement Learning in Feature Space: Matrix Bandit, Kernels, and Regret Bound",8,Reinforcement Learning in Feature Space Matrix Bandit Kernels and Regret Bound,50,180,False,44,170,0,26,6,7,11,0,0,78,9814,1.9230769230769231,0.0,6.538461538461538,0.4230769230769231,259
2352,Representation Topology Divergence: A Method for Comparing Neural Network Representations,8,Representation Topology Divergence A Method for Comparing Neural Network Representations,53,134,False,104,34,84,20,0,14,11,5,20,88,10581,2.65,5.2,1.7,0.55,24
2353,Rethinking Rotated Object Detection with Gaussian Wasserstein Distance Loss,8,Rethinking Rotated Object Detection with Gaussian Wasserstein Distance Loss,94,146,False,140,88,25,15,0,8,13,0,18,75,11982,6.266666666666667,2.8666666666666667,5.866666666666666,0.8666666666666667,253
2354,Revisiting the Effects of Stochasticity for Hamiltonian Samplers,8,Revisiting the Effects of Stochasticity for Hamiltonian Samplers,72,1,False,253,472,55,33,11,13,35,10,8,64,17968,2.1818181818181817,1.9090909090909092,14.303030303030303,1.0606060606060606,1
2356,Robust Task Representations for Offline Meta-Reinforcement Learning via Contrastive Learning,8,Robust Task Representations for Offline Meta-Reinforcement Learning via Contrastive Learning,51,139,False,51,36,14,13,0,10,13,0,10,92,8391,3.923076923076923,1.8461538461538463,2.769230769230769,1.0,18
2357,SAINT-ACC: Safety-Aware Intelligent Adaptive Cruise Control for Autonomous Vehicles Using Deep Reinforcement Learning,8,SAINT-ACC Safety-Aware Intelligent Adaptive Cruise Control for Autonomous Vehicles Using Deep Reinforcement Learning,37,121,True,54,0,44,11,0,6,8,0,4,116,8757,3.3636363636363638,4.363636363636363,0.0,0.7272727272727273,11
2358,SPDY: Accurate Pruning with Speedup Guarantees,8,SPDY Accurate Pruning with Speedup Guarantees,56,216,True,151,12,30,18,1,15,7,0,12,45,12941,3.111111111111111,2.3333333333333335,0.6666666666666666,0.3888888888888889,16
2359,Sample Efficient Reinforcement Learning In Continuous State Spaces: A Perspective Beyond Linearity,8,Sample Efficient Reinforcement Learning In Continuous State Spaces A Perspective Beyond Linearity,53,172,False,94,50,29,28,0,8,10,0,0,97,13240,1.8928571428571428,1.0357142857142858,1.7857142857142858,0.35714285714285715,6
2360,Scalable Gaussian Processes with Grid-Structured Eigenfunctions (GP-GRIEF),8,Scalable Gaussian Processes with Grid-Structured Eigenfunctions GP-GRIEF,33,116,True,50,58,9,12,9,11,2,0,2,72,8454,2.75,0.9166666666666666,4.833333333333333,0.16666666666666666,25
2361,Scaling Up Dataset Distillation to ImageNet-1K with Constant Memory,8,Scaling Up Dataset Distillation to ImageNet-1K with Constant Memory,34,190,False,57,18,57,26,3,8,23,0,18,67,8999,1.3076923076923077,2.8846153846153846,0.6923076923076923,0.8846153846153846,53
2362,Self-Attention Generative Adversarial Networks,8,Self-Attention Generative Adversarial Networks,54,166,False,56,12,46,10,0,7,5,0,4,46,5419,5.4,5.0,1.2,0.5,3307
2363,Semi-Amortized Variational Autoencoders,8,Semi-Amortized Variational Autoencoders,69,124,False,85,18,20,13,1,12,11,0,8,39,9748,5.3076923076923075,2.1538461538461537,1.3846153846153846,0.8461538461538461,226
2364,Set Transformer,8,Set Transformer,40,145,False,118,36,36,17,1,8,20,3,34,15,9573,2.3529411764705883,4.117647058823529,2.1176470588235294,1.1764705882352942,300
2365,Simple Black-box Adversarial Attacks,8,Simple Black-box Adversarial Attacks,38,1,False,74,12,43,14,16,8,3,0,4,36,6963,2.7142857142857144,3.357142857142857,0.8571428571428571,0.21428571428571427,449
2366,Sketching for First Order Method: Efficient Algorithm for Low-Bandwidth Channel and Vulnerability,8,Sketching for First Order Method Efficient Algorithm for Low-Bandwidth Channel and Vulnerability,106,1,False,86,564,0,69,8,23,33,0,4,96,26075,1.536231884057971,0.057971014492753624,8.173913043478262,0.4782608695652174,17
2367,Solving Challenging Dexterous Manipulation Tasks With Trajectory Optimisation and Reinforcement Learning,8,Solving Challenging Dexterous Manipulation Tasks With Trajectory Optimisation and Reinforcement Learning,25,143,False,52,0,21,13,0,9,10,0,0,104,8260,1.9230769230769231,1.6153846153846154,0.0,0.7692307692307693,18
2368,Sparsity in Partially Controllable Linear Systems,8,Sparsity in Partially Controllable Linear Systems,42,172,False,110,840,10,54,40,37,18,10,4,49,21429,0.7777777777777778,0.25925925925925924,15.555555555555555,0.3333333333333333,11
2370,Stein Points,8,Stein Points,50,110,False,173,144,61,31,11,10,24,11,0,12,15813,1.6129032258064515,1.967741935483871,4.645161290322581,0.7741935483870968,91
2371,Stochastic Optimization for Non-convex Inf-Projection Problems,8,Stochastic Optimization for Non-convex Inf-Projection Problems,33,165,False,50,188,20,22,2,8,7,0,4,62,12301,1.5,1.0909090909090908,8.545454545454545,0.3181818181818182,3
2372,Strategic Instrumental Variable Regression: Recovering Causal Relationships From Strategic Responses,8,Strategic Instrumental Variable Regression Recovering Causal Relationships From Strategic Responses,52,204,False,130,528,82,21,3,29,33,10,2,99,13384,2.4761904761904763,4.0,25.142857142857142,1.5714285714285714,23
2374,Subspace Embedding and Linear Regression with Orlicz Norm,8,Subspace Embedding and Linear Regression with Orlicz Norm,50,1,False,55,98,10,17,2,26,8,0,8,57,14025,2.9411764705882355,1.0588235294117647,5.764705882352941,0.47058823529411764,34
2375,Synthesizing Programs for Images using Reinforced Adversarial Learning,8,Synthesizing Programs for Images using Reinforced Adversarial Learning,53,215,False,50,26,28,12,0,9,10,0,0,70,7965,4.416666666666667,2.3333333333333335,2.1666666666666665,0.8333333333333334,211
2376,Target-Based Temporal Difference Learning,8,Target-Based Temporal Difference Learning,37,183,False,116,252,27,36,2,14,6,0,0,41,13698,1.0277777777777777,0.75,7.0,0.16666666666666666,26
2377,Temporally Consistent Transformers for Video Generation,8,Temporally Consistent Transformers for Video Generation,67,156,False,171,17,72,37,0,21,22,0,48,55,12268,1.8108108108108107,3.2432432432432434,0.4594594594594595,0.5945945945945946,9
2378,The Dual Form of Neural Networks Revisited: Connecting Test Time Predictions to Training Patterns via Spotlights of Attention,8,The Dual Form of Neural Networks Revisited Connecting Test Time Predictions to Training Patterns via Spotlights of Attention,36,160,False,96,32,179,21,4,12,11,0,14,124,11304,1.7142857142857142,9.19047619047619,1.5238095238095237,0.5238095238095238,29
2379,The Intrinsic Robustness of Stochastic Bandits to Strategic Manipulation,8,The Intrinsic Robustness of Stochastic Bandits to Strategic Manipulation,30,207,False,44,184,20,24,0,9,15,0,0,72,15541,1.25,0.8333333333333334,7.666666666666667,0.625,24
2380,The Unsurprising Effectiveness of Pre-Trained Vision Models for Control,8,The Unsurprising Effectiveness of Pre-Trained Vision Models for Control,73,148,False,124,15,41,13,0,6,13,0,0,71,8028,5.615384615384615,3.1538461538461537,1.1538461538461537,1.0,137
2381,Theory of Spectral Method for Union of Subspaces-Based Random Geometry Graph,8,Theory of Spectral Method for Union of Subspaces-Based Random Geometry Graph,39,88,False,48,74,15,22,1,7,4,2,0,76,6964,1.7727272727272727,0.6818181818181818,3.3636363636363638,0.18181818181818182,2
2383,Towards Binary-Valued Gates for Robust LSTM Training,8,Towards Binary-Valued Gates for Robust LSTM Training,50,172,True,112,17,14,10,0,6,8,2,10,52,6804,5.0,2.4,1.7,0.8,46
2384,Towards Tight Bounds on the Sample Complexity of Average-reward MDPs,8,Towards Tight Bounds on the Sample Complexity of Average-reward MDPs,25,105,False,188,84,6,22,6,7,7,0,4,68,11711,1.1363636363636365,0.45454545454545453,3.8181818181818183,0.3181818181818182,21
2385,Training Discrete Deep Generative Models via Gapped Straight-Through Estimator,8,Training Discrete Deep Generative Models via Gapped Straight-Through Estimator,36,117,False,95,100,9,15,0,8,16,5,18,78,9189,2.4,1.8,6.666666666666667,1.0666666666666667,6
2386,Transformation Autoregressive Networks,8,Transformation Autoregressive Networks,34,155,False,78,40,41,16,15,7,8,0,26,38,9062,2.125,4.1875,2.5,0.5,83
2387,Unbalanced minibatch Optimal Transport; applications to Domain Adaptation,8,Unbalanced minibatch Optimal Transport applications to Domain Adaptation,64,128,False,136,129,21,22,4,9,14,6,14,73,15639,2.909090909090909,1.5909090909090908,5.863636363636363,0.6363636363636364,111
2388,Understanding Noise Injection in GANs,8,Understanding Noise Injection in GANs,40,180,False,94,62,55,22,6,14,13,0,16,37,10606,1.8181818181818181,3.227272727272727,2.8181818181818183,0.5909090909090909,24
2389,Understanding the unstable convergence of gradient descent,8,Understanding the unstable convergence of gradient descent,14,91,False,38,64,41,11,1,9,8,3,0,58,7259,1.2727272727272727,3.727272727272727,5.818181818181818,0.7272727272727273,43
2390,Unsupervised Deep Learning by Neighbourhood Discovery,8,Unsupervised Deep Learning by Neighbourhood Discovery,44,131,False,59,22,21,10,0,6,4,0,12,53,6838,4.4,3.3,2.2,0.4,137
2391,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,8,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,64,167,False,135,0,76,43,41,15,4,0,8,91,20263,1.4883720930232558,1.9534883720930232,0.0,0.09302325581395349,141
2392,Variational Auto-Regressive Gaussian Processes for Continual Learning,8,Variational Auto-Regressive Gaussian Processes for Continual Learning,44,106,False,117,88,35,14,8,11,16,2,4,69,9357,3.142857142857143,2.7857142857142856,6.285714285714286,1.1428571428571428,19
2393,Virtual Homogeneity Learning: Defending against Data Heterogeneity in Federated Learning,8,Virtual Homogeneity Learning Defending against Data Heterogeneity in Federated Learning,78,132,False,250,42,125,22,0,11,20,0,24,87,14778,3.5454545454545454,6.7727272727272725,1.9090909090909092,0.9090909090909091,41
2394,What Can Learned Intrinsic Rewards Capture?,8,What Can Learned Intrinsic Rewards Capture,53,142,False,84,15,38,18,8,11,15,3,2,42,10048,2.9444444444444446,2.2222222222222223,0.8333333333333334,0.8333333333333334,66
2395,Which Tasks Should Be Learned Together in Multi-task Learning?,8,Which Tasks Should Be Learned Together in Multi-task Learning,69,143,False,37,0,21,13,0,7,3,2,16,61,9637,5.3076923076923075,2.8461538461538463,0.0,0.23076923076923078,396
2396,XAI for Transformers: Better Explanations through Conservative Propagation,8,XAI for Transformers Better Explanations through Conservative Propagation,60,132,True,156,96,174,17,0,44,50,8,24,73,9626,3.5294117647058822,11.647058823529411,5.647058823529412,2.9411764705882355,45
2397,pathGCN: Learning General Graph Spatial Operators from Paths,8,pathGCN Learning General Graph Spatial Operators from Paths,60,141,False,106,18,13,14,2,8,18,0,32,59,9110,4.285714285714286,3.2142857142857144,1.2857142857142858,1.2857142857142858,19
2398,A Consistent and Efficient Evaluation Strategy for Attribution Methods,8,A Consistent and Efficient Evaluation Strategy for Attribution Methods,53,150,False,152,79,148,26,3,17,28,1,34,70,13293,2.0384615384615383,7.0,3.0384615384615383,1.0769230769230769,46
2399,A Finite-Time Analysis of Q-Learning with Neural Network Function Approximation,8,A Finite-Time Analysis of Q-Learning with Neural Network Function Approximation,65,114,False,113,154,0,22,0,8,9,0,2,79,9525,2.9545454545454546,0.09090909090909091,7.0,0.4090909090909091,55
2400,A Kernel Theory of Modern Data Augmentation,8,A Kernel Theory of Modern Data Augmentation,50,169,False,93,96,57,25,0,11,16,1,2,43,13293,2.0,2.36,3.84,0.64,169
2401,A Probabilistic Approach to Neural Network Pruning,8,A Probabilistic Approach to Neural Network Pruning,51,114,False,113,194,26,29,3,12,15,0,6,50,18340,1.7586206896551724,1.103448275862069,6.689655172413793,0.5172413793103449,14
2402,A Simple Stochastic Variance Reduced Algorithm with Fast Convergence Rates,8,A Simple Stochastic Variance Reduced Algorithm with Fast Convergence Rates,32,138,False,93,238,70,29,0,11,15,6,8,74,16240,1.103448275862069,2.689655172413793,8.206896551724139,0.5172413793103449,71
2403,A Tree-based Model Averaging Approach for Personalized Treatment Effect Estimation from Heterogeneous Data Sources,8,A Tree-based Model Averaging Approach for Personalized Treatment Effect Estimation from Heterogeneous Data Sources,92,28,False,124,8,77,24,0,18,16,4,8,114,15151,3.8333333333333335,3.5416666666666665,0.3333333333333333,0.6666666666666666,11
2404,A3T: Alignment-Aware Acoustic and Text Pretraining for Speech Synthesis and Editing,8,A3T Alignment-Aware Acoustic and Text Pretraining for Speech Synthesis and Editing,40,125,False,180,20,108,13,0,16,26,4,52,82,8171,3.076923076923077,12.307692307692308,1.5384615384615385,2.0,29
2405,"Accelerated, Optimal, and Parallel: Some Results on Model-Based Stochastic Optimization",8,Accelerated Optimal and Parallel Some Results on Model-Based Stochastic Optimization,47,148,False,70,319,14,24,3,10,17,5,0,86,12196,1.9583333333333333,0.5833333333333334,13.291666666666666,0.7083333333333334,12
2406,Active Fairness Auditing,8,Active Fairness Auditing,40,108,False,86,148,8,34,18,10,15,4,0,24,21869,1.1764705882352942,0.23529411764705882,4.352941176470588,0.4411764705882353,15
2407,AdaXpert: Adapting Neural Architecture for Growing Data,8,AdaXpert Adapting Neural Architecture for Growing Data,64,179,False,71,14,35,16,0,10,9,0,12,54,10689,4.0,2.9375,0.875,0.5625,10
2408,Adaptive Regret of Convex and Smooth Functions,8,Adaptive Regret of Convex and Smooth Functions,38,102,False,160,181,6,27,0,7,10,2,0,46,10210,1.4074074074074074,0.2222222222222222,6.703703703703703,0.37037037037037035,42
2409,Adversarial Attacks on Gaussian Process Bandits,8,Adversarial Attacks on Gaussian Process Bandits,32,185,False,85,39,169,26,6,8,25,0,4,47,13543,1.2307692307692308,6.653846153846154,1.5,0.9615384615384616,5
2410,Adversarial Robustness Against the Union of Multiple Perturbation Models,8,Adversarial Robustness Against the Union of Multiple Perturbation Models,40,199,False,172,46,48,18,22,14,13,0,14,72,11738,2.2222222222222223,3.4444444444444446,2.5555555555555554,0.7222222222222222,131
2411,Agnostic Learning of Halfspaces with Gradient Descent via Soft Margins,8,Agnostic Learning of Halfspaces with Gradient Descent via Soft Margins,42,111,False,106,132,0,25,0,12,4,0,2,70,11079,1.68,0.08,5.28,0.16,13
2412,An Algorithmic Framework of Variable Metric Over-Relaxed Hybrid Proximal Extra-Gradient Method,8,An Algorithmic Framework of Variable Metric Over-Relaxed Hybrid Proximal Extra-Gradient Method,53,188,False,98,232,46,28,0,16,3,2,0,94,18635,1.8928571428571428,1.6428571428571428,8.285714285714286,0.10714285714285714,2
2413,An Optimal Private Stochastic-MAB Algorithm Based on an Optimal Private Stopping Rule,8,An Optimal Private Stochastic-MAB Algorithm Based on an Optimal Private Stopping Rule,30,149,True,104,20,64,25,17,7,1,0,0,85,9410,1.2,2.56,0.8,0.04,38
2414,Anchor Sampling for Federated Learning with Partial Client Participation,8,Anchor Sampling for Federated Learning with Partial Client Participation,91,236,False,69,184,86,38,32,13,11,2,8,72,21921,2.3947368421052633,2.473684210526316,4.842105263157895,0.2894736842105263,0
2415,Approximation Theory of Convolutional Architectures for Time Series Modelling,8,Approximation Theory of Convolutional Architectures for Time Series Modelling,33,131,False,51,162,2,18,9,10,5,0,0,77,11011,1.8333333333333333,0.1111111111111111,9.0,0.2777777777777778,11
2416,Attentional Meta-learners for Few-shot Polythetic Classification,8,Attentional Meta-learners for Few-shot Polythetic Classification,35,138,False,79,40,49,23,5,19,1,0,18,64,11589,1.5217391304347827,2.9130434782608696,1.7391304347826086,0.043478260869565216,0
2417,Automatic Reparameterisation of Probabilistic Programs,8,Automatic Reparameterisation of Probabilistic Programs,33,133,False,49,42,22,15,9,11,15,0,0,54,7126,2.2,1.4666666666666666,2.8,1.0,21
2418,Barlow Twins: Self-Supervised Learning via Redundancy Reduction,8,Barlow Twins Self-Supervised Learning via Redundancy Reduction,52,224,False,91,32,24,13,16,15,23,4,12,62,8884,4.0,2.769230769230769,2.4615384615384617,1.7692307692307692,1685
2419,Bayesian Model Selection for Change Point Detection and Clustering,8,Bayesian Model Selection for Change Point Detection and Clustering,36,148,False,60,252,12,37,0,10,3,0,0,66,14542,0.972972972972973,0.32432432432432434,6.8108108108108105,0.08108108108108109,4
2422,Black-box Certification and Learning under Adversarial Perturbations,8,Black-box Certification and Learning under Adversarial Perturbations,55,110,False,79,38,0,17,3,11,9,3,0,68,14917,3.235294117647059,0.0,2.235294117647059,0.5294117647058824,18
2423,Bounding the Width of Neural Networks via Coupled Initialization - A Worst Case Analysis,8,Bounding the Width of Neural Networks via Coupled Initialization - A Worst Case Analysis,54,1,False,111,390,10,42,4,16,27,2,8,88,21658,1.2857142857142858,0.42857142857142855,9.285714285714286,0.6428571428571429,10
2424,Bucket renormalization for approximate inference,8,Bucket renormalization for approximate inference,0,115,False,104,192,58,10,16,18,18,0,0,48,6478,0.0,5.8,19.2,1.8,1
2425,CRPO: A New Approach for Safe Reinforcement Learning with Convergence Guarantee,8,CRPO A New Approach for Safe Reinforcement Learning with Convergence Guarantee,73,196,True,67,304,11,36,0,9,13,0,0,78,19683,2.0277777777777777,0.3055555555555556,8.444444444444445,0.3611111111111111,84
2427,Certifying Out-of-Domain Generalization for Blackbox Functions,8,Certifying Out-of-Domain Generalization for Blackbox Functions,53,198,False,64,202,44,22,6,13,9,5,2,62,12473,2.409090909090909,2.090909090909091,9.181818181818182,0.4090909090909091,10
2428,Classifying Treatment Responders Under Causal Effect Monotonicity,8,Classifying Treatment Responders Under Causal Effect Monotonicity,33,191,False,42,29,19,10,0,6,11,0,2,65,7246,3.3,2.1,2.9,1.1,15
2430,Communication-Efficient Distributed SVD via Local Power Iterations,8,Communication-Efficient Distributed SVD via Local Power Iterations,58,128,True,43,41,14,37,19,8,1,0,4,66,18898,1.5675675675675675,0.4864864864864865,1.1081081081081081,0.02702702702702703,13
2431,Compositional Fairness Constraints for Graph Embeddings,8,Compositional Fairness Constraints for Graph Embeddings,40,141,False,59,28,21,11,0,11,7,7,8,55,7222,3.6363636363636362,2.6363636363636362,2.5454545454545454,0.6363636363636364,209
2432,Conditioning by adaptive sampling for robust design,8,Conditioning by adaptive sampling for robust design,43,111,False,121,40,37,18,21,21,5,0,2,51,10119,2.388888888888889,2.1666666666666665,2.2222222222222223,0.2777777777777778,157
2433,Constant Curvature Graph Convolutional Networks,8,Constant Curvature Graph Convolutional Networks,65,152,False,181,203,43,19,22,17,14,12,8,47,12058,3.4210526315789473,2.6842105263157894,10.68421052631579,0.7368421052631579,99
2434,Contextual Bandits with Smooth Regret: Efficient Learning in Continuous Action Spaces,8,Contextual Bandits with Smooth Regret Efficient Learning in Continuous Action Spaces,30,135,False,122,90,3,20,13,9,11,3,2,84,10354,1.5,0.25,4.5,0.55,15
2435,"Contrastive Mixture of Posteriors for Counterfactual Inference, Data Integration and Fairness",8,Contrastive Mixture of Posteriors for Counterfactual Inference Data Integration and Fairness,78,157,False,178,166,20,44,13,15,23,0,28,93,20565,1.7727272727272727,1.0909090909090908,3.772727272727273,0.5227272727272727,5
2436,Convolutional Kernel Networks for Graph-Structured Data,8,Convolutional Kernel Networks for Graph-Structured Data,39,111,False,152,108,43,19,27,10,14,0,6,55,11502,2.0526315789473686,2.5789473684210527,5.684210526315789,0.7368421052631579,44
2437,Correlation Clustering with Asymmetric Classification Errors,8,Correlation Clustering with Asymmetric Classification Errors,21,115,False,48,124,6,24,3,8,6,0,2,60,10900,0.875,0.3333333333333333,5.166666666666667,0.25,15
2439,DNNR: Differential Nearest Neighbors Regression,8,DNNR Differential Nearest Neighbors Regression,44,160,True,60,111,34,22,1,10,10,0,44,46,11457,2.0,3.5454545454545454,5.045454545454546,0.45454545454545453,5
2440,Data augmentation for deep learning based accelerated MRI reconstruction with limited data,8,Data augmentation for deep learning based accelerated MRI reconstruction with limited data,41,191,True,81,31,156,27,0,12,13,0,4,90,10667,1.5185185185185186,5.925925925925926,1.1481481481481481,0.48148148148148145,37
2442,Deep Factors for Forecasting,8,Deep Factors for Forecasting,59,156,False,86,36,41,16,1,9,14,4,12,28,9716,3.6875,3.3125,2.25,0.875,145
2445,Detecting Rewards Deterioration in Episodic Reinforcement Learning,8,Detecting Rewards Deterioration in Episodic Reinforcement Learning,75,201,False,200,100,78,41,18,19,7,1,4,66,22882,1.829268292682927,2.0,2.4390243902439024,0.17073170731707318,11
2446,Differentially Private Aggregation in the Shuffle Model: Almost Central Accuracy in Almost a Single Message,8,Differentially Private Aggregation in the Shuffle Model Almost Central Accuracy in Almost a Single Message,49,83,False,94,94,32,31,26,17,18,0,0,106,13551,1.5806451612903225,1.032258064516129,3.032258064516129,0.5806451612903226,25
2447,Diffusion bridges vector quantized variational autoencoders,8,Diffusion bridges vector quantized variational autoencoders,26,135,False,32,20,72,23,23,12,8,0,8,59,8126,1.1304347826086956,3.4782608695652173,0.8695652173913043,0.34782608695652173,11
2448,Discrete Key-Value Bottleneck,8,Discrete Key-Value Bottleneck,97,253,False,81,36,54,25,3,19,22,4,4,29,13818,3.88,2.32,1.44,0.88,14
2449,Distributed Learning over Unreliable Networks,8,Distributed Learning over Unreliable Networks,50,203,False,67,225,21,38,27,12,11,0,0,45,15070,1.3157894736842106,0.5526315789473685,5.921052631578948,0.2894736842105263,51
2452,Dynamical Isometry and a Mean Field Theory of RNNs: Gating Enables Signal Propagation in Recurrent Neural Networks,8,Dynamical Isometry and a Mean Field Theory of RNNs Gating Enables Signal Propagation in Recurrent Neural Networks,54,187,False,96,86,15,13,0,13,4,2,2,113,8815,4.153846153846154,1.3076923076923077,6.615384615384615,0.3076923076923077,111
2453,Efficient Learning of Mesh-Based Physical Simulation with Bi-Stride Multi-Scale Graph Neural Network,8,Efficient Learning of Mesh-Based Physical Simulation with Bi-Stride Multi-Scale Graph Neural Network,52,184,False,86,8,33,18,17,7,13,9,18,100,10296,2.888888888888889,2.8333333333333335,0.4444444444444444,0.7222222222222222,4
